Name,wikipedia,Hex,Red,Green,Blue,Hue,Saturation,Light,Saturation(HSV),Value
Magenta (Crayola),https://en.wikipedia.org/wiki/Variations_of_magenta#Magenta_.28Crayola.29,#FF55A3,100%,33%,64%,332°,100%,67%,67%,100%
Magenta (dye),https://en.wikipedia.org/wiki/Magenta#Historical_development_of_magenta,#CA1F7B,79%,12%,48%,328°,73%,46%,85%,79%
Magenta (Pantone),https://en.wikipedia.org/wiki/Variations_of_magenta#Magenta_.28Pantone.29,#D0417E,82%,25%,49%,334°,60%,54%,69%,82%
Magenta (process),https://en.wikipedia.org/wiki/Magenta#Historical_development_of_magenta,#FF0090,100%,0%,56%,326°,100%,50%,100%,100%
Magenta haze,https://en.wikipedia.org/wiki/Variations_of_magenta#Magenta_haze,#9F4576,62%,27%,46%,327°,39%,45%,57%,62%
Magenta-pink,https://en.wikipedia.org/wiki/Magenta,#CC338B,80%,20%,55%,325°,60%,50%,75%,80%
Magic mint,https://en.wikipedia.org/wiki/Spring_green_(color)#Magic_mint,#AAF0D1,67%,94%,82%,153°,70%,80%,29%,94%
Magic Potion,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Silly_Scents,#FF4466,100%,27%,40%,349°,100%,63%,73%,100%
Magnolia,https://en.wikipedia.org/wiki/Magnolia_(color),#F8F4FF,97%,96%,100%,262°,100%,98%,4%,100%
Mahogany,https://en.wikipedia.org/wiki/Mahogany_(color),#C04000,75%,25%,0%,20°,100%,38%,100%,75%
Maize,https://en.wikipedia.org/wiki/Maize_(color),#FBEC5D,98%,93%,36%,54°,95%,67%,63%,98%
Majorelle Blue,https://en.wikipedia.org/wiki/Majorelle_Blue,#6050DC,38%,31%,86%,247°,67%,59%,64%,86%
Malachite,https://en.wikipedia.org/wiki/Shades_of_green#Malachite,#0BDA51,4%,85%,32%,140°,90%,45%,95%,85%
Manatee,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Standard_colors,#979AAA,59%,60%,67%,231°,10%,63%,11%,67%
Mandarin,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Pearl_Brite,#F37A48,95%,48%,28%,18°,88%,62%,70%,95%
Mango Tango,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Standard_colors,#FF8243,100%,51%,26%,20°,100%,63%,74%,100%
Mantis,https://en.wikipedia.org/wiki/Shades_of_green#Mantis,#74C365,45%,76%,40%,110°,44%,58%,48%,76%
Mardi Gras,https://en.wikipedia.org/wiki/Shades_of_purple#Mardi_Gras,#880085,53%,0%,52%,301°,100%,27%,100%,53%
Marigold,https://en.wikipedia.org/wiki/Marigold_(color),#EAA221,92%,64%,13%,39°,83%,52%,85%,91%
Maroon (Crayola),https://en.wikipedia.org/wiki/Maroon_(color)#Maroon_.28Crayola.29,#C32148,76%,13%,28%,346°,71%,45%,83%,76%
Maroon (HTML/CSS),https://en.wikipedia.org/wiki/Maroon_(color),#800000,50%,0%,0%,0°,100%,25%,100%,50%
Maroon (X11),https://en.wikipedia.org/wiki/Maroon_(color),#B03060,69%,19%,38%,338°,57%,44%,73%,69%
Mauve,https://en.wikipedia.org/wiki/Mauve,#E0B0FF,88%,69%,100%,276°,100%,85%,31%,100%
Mauve taupe,https://en.wikipedia.org/wiki/Taupe#Mauve_taupe,#915F6D,57%,37%,43%,343°,21%,47%,34%,57%
Mauvelous,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Standard_colors,#EF98AA,94%,60%,67%,348°,73%,77%,36%,94%
Maximum Blue,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Munsell_Crayola.2C_1926.E2.80.931944,#47ABCC,28%,67%,80%,195°,57%,54%,65%,80%
Maximum Blue Green,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Munsell_Crayola.2C_1926.E2.80.931944,#30BFBF,19%,75%,75%,180°,60%,47%,75%,75%
Maximum Blue Purple,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Munsell_Crayola.2C_1926.E2.80.931944,#ACACE6,67%,67%,90%,240°,54%,79%,25%,90%
Maximum Green,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Munsell_Crayola.2C_1926.E2.80.931944,#5E8C31,37%,55%,19%,90°,48%,37%,65%,55%
Maximum Green Yellow,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Munsell_Crayola.2C_1926.E2.80.931944,#D9E650,85%,90%,31%,65°,75%,61%,65%,90%
Maximum Purple,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Munsell_Crayola.2C_1926.E2.80.931944,#733380,45%,20%,50%,290°,43%,35%,60%,50%
Maximum Red,https://en.wikipedia.org/wiki/Shades_of_red#Maximum_red,#D92121,85%,13%,13%,0°,74%,49%,85%,85%
Maximum Red Purple,https://en.wikipedia.org/wiki/Shades_of_red#Munsell_Crayola.2C_1926.E2.80.931944,#A63A79,65%,23%,47%,325°,48%,44%,65%,65%
Maximum Yellow,https://en.wikipedia.org/wiki/Shades_of_yellow#Maximum_yellow,#FAFA37,98%,98%,22%,60°,95%,60%,78%,98%
Maximum Yellow Red,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Munsell_Crayola.2C_1926.E2.80.931944,#F2BA49,95%,73%,29%,40°,87%,62%,70%,95%
May green,https://en.wikipedia.org/wiki/Spring_bud#May_green,#4C9141,30%,57%,25%,112°,38%,41%,55%,57%
Maya blue,https://en.wikipedia.org/wiki/Maya_Blue,#73C2FB,45%,76%,98%,205°,94%,72%,54%,98%
Meat brown,https://en.wikipedia.org/wiki/List_of_Crayola_colored_pencil_colors#Standard_colors,#E5B73B,90%,72%,23%,44°,77%,56%,74%,90%
Medium aquamarine,https://en.wikipedia.org/wiki/Aquamarine_(color)#Medium_aquamarine,#66DDAA,40%,87%,67%,154°,64%,63%,54%,87%
Medium blue,https://en.wikipedia.org/wiki/Dark_blue_(color)#Medium_blue,#0000CD,0%,0%,80%,240°,100%,40%,100%,80%
Medium candy apple red,https://en.wikipedia.org/wiki/Candy_apple_red_(color)#Medium_candy_apple_red,#E2062C,89%,2%,17%,350°,95%,45%,97%,89%
Medium carmine,https://en.wikipedia.org/wiki/Carmine_(color)#Medium_Carmine,#AF4035,69%,25%,21%,5°,54%,45%,70%,69%
Medium champagne,https://en.wikipedia.org/wiki/Champagne_(color)#Medium_champagne,#F3E5AB,95%,90%,67%,48°,75%,81%,30%,95%
Medium electric blue,https://en.wikipedia.org/wiki/Electric_blue_(color)#Medium_electric_blue,#035096,1%,31%,59%,209°,96%,30%,98%,59%
Medium jungle green,https://en.wikipedia.org/wiki/Jungle_green#Medium_jungle_green,#1C352D,11%,21%,18%,161°,31%,16%,47%,21%
Medium lavender magenta,https://en.wikipedia.org/wiki/Lavender_(color)#Medium_lavender_magenta_.28web_color_plum.29,#DDA0DD,87%,63%,87%,300°,47%,75%,28%,87%
Medium orchid,https://en.wikipedia.org/wiki/X11_color_names#Color_names,#BA55D3,73%,33%,83%,288°,59%,58%,60%,83%
Medium Persian blue,https://en.wikipedia.org/wiki/Persian_blue#Medium_Persian_blue,#0067A5,0%,40%,65%,203°,100%,32%,100%,65%
Medium purple,https://en.wikipedia.org/wiki/Shades_of_purple#Medium_purple_.28X11.29,#9370DB,58%,44%,86%,260°,60%,65%,49%,86%
Medium red-violet,https://en.wikipedia.org/wiki/Red-violet#Medium_red-violet,#BB3385,73%,20%,52%,324°,57%,47%,73%,73%
Medium ruby,https://en.wikipedia.org/wiki/Ruby_(color)#Medium_ruby,#AA4069,67%,25%,41%,337°,45%,46%,62%,67%
Medium sea green,https://en.wikipedia.org/wiki/Spring_green_(color)#Medium_sea_green,#3CB371,24%,70%,44%,147°,50%,47%,66%,70%
Medium sky blue,https://en.wikipedia.org/wiki/Sky_blue#Medium_sky_blue,#80DAEB,50%,85%,92%,190°,73%,71%,46%,92%
Medium slate blue,https://en.wikipedia.org/wiki/X11_color_names#Color_names,#7B68EE,48%,41%,93%,249°,80%,67%,56%,93%
Medium spring bud,https://en.wikipedia.org/wiki/Spring_bud#Medium_spring_bud,#C9DC87,79%,86%,53%,73°,55%,70%,39%,86%
Medium spring green,https://en.wikipedia.org/wiki/Spring_green_(color)#Medium_spring_green,#00FA9A,0%,98%,60%,157°,100%,49%,100%,98%
Medium taupe,https://en.wikipedia.org/wiki/Taupe#Medium_taupe,#674C47,40%,30%,28%,9°,18%,34%,31%,40%
Medium turquoise,https://en.wikipedia.org/wiki/Turquoise_(color)#Medium_Turquoise,#48D1CC,28%,82%,80%,178°,60%,55%,66%,82%
Medium Tuscan red,https://en.wikipedia.org/wiki/Tuscan_red#Medium_Tuscan_red,#79443B,47%,27%,23%,9°,34%,35%,51%,47%
Medium vermilion,https://en.wikipedia.org/wiki/Vermilion#Medium_vermilion,#D9603B,85%,38%,23%,14°,68%,54%,73%,85%
Medium violet-red,https://en.wikipedia.org/wiki/Red-violet,#C71585,78%,8%,52%,322°,81%,43%,89%,78%
Mellow apricot,https://en.wikipedia.org/wiki/Apricot_(color)#Mellow_apricot,#F8B878,97%,72%,47%,30°,90%,72%,52%,97%
Mellow yellow,https://en.wikipedia.org/wiki/Shades_of_yellow#Mellow_yellow,#F8DE7E,97%,87%,49%,47°,90%,73%,49%,97%
Melon,https://en.wikipedia.org/wiki/Variations_of_orange#Melon,#FDBCB4,99%,74%,71%,7°,95%,85%,29%,99%
Metallic Seaweed,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Metallic_FX,#0A7E8C,4%,49%,55%,186°,87%,29%,93%,55%
Metallic Sunburst,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Metallic_FX,#9C7C38,61%,49%,22%,41°,47%,42%,64%,61%
Mexican pink,https://en.wikipedia.org/wiki/Mexican_pink,#E4007C,89%,0%,49%,327°,100%,45%,100%,89%
Middle Blue,https://en.wikipedia.org/wiki/Shades_of_red#Munsell_Crayola.2C_1926.E2.80.931944,#7ED4E6,49%,83%,90%,126°,68%,70%,212%,230%
Middle Blue Green,https://en.wikipedia.org/wiki/Shades_of_red#Munsell_Crayola.2C_1926.E2.80.931944,#8DD9CC,55%,85%,80%,141°,50%,70%,217%,204%
Middle Blue Purple,https://en.wikipedia.org/wiki/Shades_of_red#Munsell_Crayola.2C_1926.E2.80.931944,#8B72BE,55%,45%,75%,260°,37%,60%,40%,75%
Middle Red Purple,https://en.wikipedia.org/wiki/Shades_of_red#Munsell_Crayola.2C_1926.E2.80.931944,#210837,13%,3%,22%,139°,75%,12%,134%,128%
Middle Green,https://en.wikipedia.org/wiki/Shades_of_red#Munsell_Crayola.2C_1926.E2.80.931944,#4D8C57,30%,55%,34%,130°,29%,43%,45%,50%
Middle Green Yellow,https://en.wikipedia.org/wiki/Shades_of_red#Munsell_Crayola.2C_1926.E2.80.931944,#ACBF60,67%,75%,38%,72°,43%,56%,50%,75%
Middle Purple,https://en.wikipedia.org/wiki/Shades_of_red#Munsell_Crayola.2C_1926.E2.80.931944,#D982B5,85%,51%,71%,325°,53%,68%,40%,85%
Middle Red,https://en.wikipedia.org/wiki/Shades_of_red#Munsell_Crayola.2C_1926.E2.80.931944,#E58E73,90%,56%,45%,15°,69%,68%,50%,90%
Middle Red Purple,https://en.wikipedia.org/wiki/Shades_of_red#Munsell_Crayola.2C_1926.E2.80.931944,#A55353,0%,33%,33%,165°,100%,16%,83%,83%
Middle Yellow,https://en.wikipedia.org/wiki/Shades_of_red#Munsell_Crayola.2C_1926.E2.80.931944,#FFEB00,100%,92%,0%,55°,100%,50%,100%,100%
Middle Yellow Red,https://en.wikipedia.org/wiki/Shades_of_red#Munsell_Crayola.2C_1926.E2.80.931944,#ECB176,65%,23%,47%,236°,48%,44%,177%,118%
Midnight,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Pearl_Brite,#702670,44%,15%,44%,300°,49%,29%,66%,44%
Midnight blue,https://en.wikipedia.org/wiki/Midnight_blue,#191970,10%,10%,44%,240°,64%,27%,78%,44%
Midnight green (eagle green),https://en.wikipedia.org/wiki/Shades_of_green#Midnight_green,#004953,0%,29%,33%,187°,100%,16%,100%,33%
Mikado yellow,https://en.wikipedia.org/wiki/Mikado_yellow,#FFC40C,100%,77%,5%,45°,100%,52%,95%,100%
Mimi Pink,https://en.wikipedia.org/wiki/Shades_of_pink#Mimi_pink,#FFDAE9,100%,85%,91%,336°,100%,93%,15%,100%
Mindaro,https://en.wikipedia.org/wiki/Chartreuse_(color)#Mindaro,#E3F988,89%,98%,53%,72°,90%,75%,45%,98%
Ming,https://en.wikipedia.org/wiki/Blue-green#Ming,#36747D,21%,45%,49%,188°,40%,35%,56%,49%
Minion Yellow,https://en.wikipedia.org/wiki/Minions_(film)#Marketing,#F5E050,96%,86%,31%,52°,89%,64%,67%,96%
Mint,https://en.wikipedia.org/wiki/Spring_green_(color)#Mint,#3EB489,24%,71%,54%,158°,49%,47%,66%,71%
Mint cream,https://en.wikipedia.org/wiki/Spring_green_(color)#Mint_cream,#F5FFFA,96%,100%,98%,150°,100%,98%,4%,100%
Mint green,https://en.wikipedia.org/wiki/Spring_green_(color)#Mint_green,#98FF98,60%,100%,60%,120°,100%,80%,40%,100%
Misty Moss,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Silver_Swirls,#BBB477,73%,71%,47%,54°,33%,60%,36%,73%
Misty rose,https://en.wikipedia.org/wiki/Rose_(color)#Misty_rose,#FFE4E1,100%,89%,88%,6°,100%,94%,12%,100%
Moccasin,https://en.wikipedia.org/wiki/Moccasin,#FAEBD7,98%,92%,84%,34°,78%,91%,14%,98%
Mode beige,https://en.wikipedia.org/wiki/Beige#Mode_beige,#967117,59%,44%,9%,43°,73%,34%,85%,59%
Moonstone blue,https://en.wikipedia.org/wiki/Moonstone_(gemstone),#73A9C2,45%,66%,76%,199°,39%,61%,41%,76%
Mordant red 19,https://en.wikipedia.org/wiki/Mordant_red_19,#AE0C00,68%,5%,0%,4°,100%,34%,100%,68%
Moss green,https://en.wikipedia.org/wiki/Moss_green,#8A9A5B,54%,60%,36%,75°,26%,48%,41%,60%
Mountain Meadow,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Standard_colors,#30BA8F,19%,73%,56%,161°,59%,46%,74%,73%
Mountbatten pink,https://en.wikipedia.org/wiki/Mountbatten_pink,#997A8D,60%,48%,55%,323°,13%,54%,20%,60%
MSU Green,https://en.wikipedia.org/wiki/Shades_of_green#MSU_green,#18453B,9%,27%,23%,167°,48%,18%,65%,27%
Mughal green,https://en.wikipedia.org/wiki/Moss_green#Mughal_green,#306030,19%,38%,19%,120°,33%,28%,50%,38%
Mulberry,https://en.wikipedia.org/wiki/Shades_of_purple#Mulberry,#C54B8C,77%,29%,55%,328°,51%,53%,62%,77%
Mummy's Tomb,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Silly_Scents,#828E84,51%,56%,52%,130°,5%,53%,9%,56%
Mustard,https://en.wikipedia.org/wiki/Mustard_(color),#FFDB58,100%,86%,35%,47°,100%,67%,65%,100%
Myrtle green,https://en.wikipedia.org/wiki/Shades_of_green#Myrtle_green,#317873,19%,47%,45%,176°,42%,33%,59%,47%
Mystic,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Pearl_Brite,#D65282,84%,32%,51%,338°,62%,58%,62%,84%
Mystic Maroon,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Silver_Swirls,#AD4379,68%,26%,47%,329°,44%,47%,62%,68%
Absolute Zero,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Extreme_Twistables_colors,#0048BA,0%,28%,73%,217°,100%,37%,100%,73%
Acajou,,#4C2F27,30%,18%,15%,65°,32%,23%,86%,75%
Acid green,https://en.wikipedia.org/wiki/Acid_green,#B0BF1A,69%,75%,10%,65°,76%,43%,86%,75%
Aero,https://en.wikipedia.org/wiki/Aero_(color),#7CB9E8,49%,73%,91%,206°,70%,70%,47%,91%
Aero blue,https://en.wikipedia.org/wiki/Aero_blue,#C9FFE5,79%,100%,90%,151°,100%,89%,21%,100%
African violet,https://en.wikipedia.org/wiki/African_violet_(color),#B284BE,70%,52%,75%,288°,31%,63%,31%,75%
Air Force blue (RAF),https://en.wikipedia.org/wiki/Air_Force_blue_(RAF),#5D8AA8,36%,54%,66%,204°,30%,51%,45%,66%
Air Force blue (USAF),https://en.wikipedia.org/wiki/Air_Force_blue_(USAF),#00308F,0%,19%,56%,220°,100%,28%,100%,56%
Air superiority blue,https://en.wikipedia.org/wiki/Air_superiority_blue,#72A0C1,45%,63%,76%,205°,39%,60%,41%,76%
Alabama crimson,https://en.wikipedia.org/wiki/Alabama_crimson,#AF002A,69%,0%,16%,346°,100%,34%,100%,69%
Alabaster,https://en.wikipedia.org/wiki/Alabaster,#F2F0E6,95%,94%,90%,346°,32%,93%,100%,69%
Alice blue,https://en.wikipedia.org/wiki/Alice_blue,#F0F8FF,94%,97%,100%,208°,100%,97%,6%,100%
Alien Armpit,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Silly_Scents,#84DE02,52%,87%,1%,85°,98%,44%,99%,87%
Alizarin crimson,https://en.wikipedia.org/wiki/Alizarin_crimson_(color),#E32636,89%,15%,21%,355°,77%,52%,83%,89%
Alloy orange,https://en.wikipedia.org/wiki/Alloy_orange,#C46210,77%,38%,6%,27°,85%,42%,92%,77%
Almond,https://en.wikipedia.org/wiki/Almond_(color),#EFDECD,94%,87%,80%,30°,52%,87%,14%,94%
Amaranth,https://en.wikipedia.org/wiki/Amaranth_(color),#E52B50,90%,17%,31%,348°,78%,53%,81%,90%
Amaranth deep purple,https://en.wikipedia.org/wiki/Amaranth_(color)#Amaranth_deep_purple,#9F2B68,62%,17%,41%,328°,57%,40%,73%,62%
Amaranth pink,https://en.wikipedia.org/wiki/Amaranth_(color)#Amaranth_pink,#F19CBB,95%,61%,73%,338°,75%,78%,35%,95%
Amaranth purple,https://en.wikipedia.org/wiki/Amaranth_(color)#Amaranth_purple,#AB274F,67%,15%,31%,342°,63%,41%,77%,67%
Amaranth red,https://en.wikipedia.org/wiki/Amaranth_(color),#D3212D,83%,13%,18%,356°,73%,48%,84%,83%
Amazon,https://en.wikipedia.org/wiki/Amazon_(color),#3B7A57,23%,48%,34%,147°,35%,35%,52%,48%
Amazonite,https://en.wikipedia.org/wiki/Amazonite,#00C4B0,0%,77%,69%,356°,100%,38%,84%,83%
Amber,https://en.wikipedia.org/wiki/Amber_(color),#FFBF00,100%,75%,0%,45°,100%,50%,100%,100%
Amber (SAE/ECE),https://en.wikipedia.org/wiki/Amber_(color),#FF7E00,100%,49%,0%,30°,100%,50%,100%,100%
American rose,https://en.wikipedia.org/wiki/American_rose,#FF033E,100%,1%,24%,346°,100%,51%,99%,100%
Amethyst,https://en.wikipedia.org/wiki/Amethyst_(color),#9966CC,60%,40%,80%,270°,50%,60%,50%,80%
Android green,https://en.wikipedia.org/wiki/Android_green,#A4C639,64%,78%,22%,74°,55%,50%,71%,78%
Anti-flash white,https://en.wikipedia.org/wiki/Anti-flash_white,#F2F3F4,95%,95%,96%,210°,8%,95%,1%,96%
Antique brass,https://en.wikipedia.org/wiki/Antique_brass,#CD9575,80%,58%,46%,22°,47%,63%,43%,80%
Antique bronze,https://en.wikipedia.org/wiki/Antique_bronze,#665D1E,40%,36%,12%,53°,55%,26%,71%,40%
Antique fuchsia,https://en.wikipedia.org/wiki/Antique_fuchsia,#915C83,57%,36%,51%,316°,22%,46%,37%,57%
Antique ruby,https://en.wikipedia.org/wiki/Antique_ruby,#841B2D,52%,11%,18%,350°,66%,31%,80%,52%
Antique white,https://en.wikipedia.org/wiki/Antique_white,#FAEBD7,98%,92%,84%,34°,78%,91%,14%,98%
Ao (English),https://en.wikipedia.org/wiki/Ao_(color),#008000,0%,50%,0%,120°,100%,25%,100%,50%
Apple green,https://en.wikipedia.org/wiki/Apple_green,#8DB600,55%,71%,0%,74°,100%,36%,100%,71%
Apricot,https://en.wikipedia.org/wiki/Apricot_(color),#FBCEB1,98%,81%,69%,24°,90%,84%,29%,98%
Aqua,https://en.wikipedia.org/wiki/Aqua_(color),#00FFFF,0%,100%,100%,180°,100%,50%,100%,100%
Aquamarine,https://en.wikipedia.org/wiki/Aquamarine_(color),#7FFFD4,50%,100%,83%,160°,100%,75%,50%,100%
Arctic lime,https://en.wikipedia.org/wiki/Lime_(color)#Arctic_Lime,#D0FF14,82%,100%,8%,72°,100%,54%,92%,100%
Army green,https://en.wikipedia.org/wiki/Army_green,#4B5320,29%,33%,13%,69°,44%,23%,61%,33%
Arsenic,,#3B444B,23%,27%,29%,206°,12%,26%,21%,29%
Artichoke,https://en.wikipedia.org/wiki/Artichoke_(color),#8F9779,56%,59%,47%,76°,13%,53%,20%,59%
Arylide yellow,https://en.wikipedia.org/wiki/Arylide_yellow,#E9D66B,91%,84%,42%,51°,74%,67%,54%,91%
Ash grey,https://en.wikipedia.org/wiki/Ash_grey,#B2BEB5,70%,75%,71%,135°,8%,72%,6%,75%
Asparagus,https://en.wikipedia.org/wiki/Asparagus_(color),#87A96B,53%,66%,42%,93°,26%,54%,37%,66%
Atomic tangerine,https://en.wikipedia.org/wiki/Atomic_tangerine,#FF9966,100%,60%,40%,20°,100%,70%,60%,100%
Auburn,https://en.wikipedia.org/wiki/Auburn_(color),#A52A2A,65%,16%,16%,0°,59%,41%,75%,65%
Aureolin,https://en.wikipedia.org/wiki/Aureolin,#FDEE00,99%,93%,0%,56°,100%,50%,100%,99%
AuroMetalSaurus,https://en.wikipedia.org/wiki/AuroMetalSaurus,#6E7F80,43%,50%,50%,183°,8%,47%,14%,50%
Avocado,https://en.wikipedia.org/wiki/Avocado_(color),#568203,34%,51%,1%,81°,95%,26%,98%,51%
Aztec Gold,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Silver_Swirls,#C39953,76%,60%,33%,38°,48%,55%,57%,77%
Azure,https://en.wikipedia.org/wiki/Azure_(color),#007FFF,0%,50%,100%,210°,100%,50%,100%,100%
Azure (web color),https://en.wikipedia.org/wiki/Azure_(web_color),#F0FFFF,94%,100%,100%,180°,100%,97%,6%,100%
Azure mist,https://en.wikipedia.org/wiki/Azure_mist,#F0FFFF,94%,100%,100%,180°,100%,97%,6%,100%
Azureish white,https://en.wikipedia.org/wiki/White,#DBE9F4,86%,91%,96%,206°,53%,91%,10%,96%
Baby blue,https://en.wikipedia.org/wiki/Baby_blue,#89CFF0,54%,81%,94%,199°,77%,74%,43%,94%
Baby blue eyes,https://en.wikipedia.org/wiki/Baby_blue#Baby_blue_eyes,#A1CAF1,63%,79%,95%,209°,74%,79%,33%,95%
Baby pink,https://en.wikipedia.org/wiki/Shades_of_pink#Baby_pink,#F4C2C2,96%,76%,76%,0°,69%,86%,20%,96%
Baby powder,https://en.wikipedia.org/wiki/Shades_of_white#Baby_powder,#FEFEFA,100%,100%,98%,60°,67%,99%,2%,100%
Baker-Miller pink,https://en.wikipedia.org/wiki/Baker-Miller_Pink,#FF91AF,100%,57%,69%,344°,100%,78%,43%,100%
Ball blue,https://en.wikipedia.org/wiki/List_of_Crayola_colored_pencil_colors#Standard_colors,#21ABCD,13%,67%,80%,192°,72%,47%,84%,80%
Banana Mania,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Standard_colors,#FAE7B5,98%,91%,71%,43°,87%,85%,28%,98%
Banana yellow,https://en.wikipedia.org/wiki/Shades_of_yellow#Banana_yellow,#FFE135,100%,88%,21%,51°,100%,60%,79%,100%
Bangladesh green,https://en.wikipedia.org/wiki/Shades_of_green#Bottle_green,#006A4E,0%,42%,31%,164°,100%,21%,100%,42%
Barbie pink,https://en.wikipedia.org/wiki/Variations_of_pink#Barbie_pink,#E0218A,88%,13%,54%,327°,75%,50%,85%,88%
Barn red,https://en.wikipedia.org/wiki/Shades_of_red#Barn_red,#7C0A02,49%,4%,1%,4°,97%,25%,98%,49%
Battery Charged Blue,https://en.wikipedia.org/wiki/List_of_Crayola_marker_colors#Standard_colors,#1DACD6,11%,67%,84%,194°,76%,48%,86%,84%
Battleship grey,https://en.wikipedia.org/wiki/Battleship_grey,#848482,52%,52%,51%,60°,1%,51%,2%,52%
Bazaar,https://en.wikipedia.org/wiki/Rose_(color)#Bazaar,#98777B,60%,47%,48%,353°,14%,53%,22%,60%
Beau blue,https://en.wikipedia.org/wiki/Baby_blue#Beau_blue,#BCD4E6,74%,83%,90%,206°,46%,82%,18%,90%
Beaver,https://en.wikipedia.org/wiki/Variations_of_brown#Beaver,#9F8170,62%,51%,44%,22°,20%,53%,30%,62%
Begonia,https://en.wikipedia.org/wiki/Begonia,#FA6E79,98%,43%,47%,355°,93%,71%,10%,96%
Beige,https://en.wikipedia.org/wiki/Beige,#F5F5DC,96%,96%,86%,60°,56%,91%,10%,96%
B'dazzled blue,https://en.wikipedia.org/wiki/Sapphire_(color)#B.27dazzled_blue,#2E5894,18%,35%,58%,215°,53%,38%,69%,58%
Big dip o’ruby,https://en.wikipedia.org/wiki/Ruby_(color)#Big_dip_o.27ruby,#9C2542,61%,15%,26%,345°,62%,38%,76%,61%
Big Foot Feet,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Silly_Scents,#E88E5A,91%,56%,35%,22°,76%,63%,61%,91%
Bisque,https://en.wikipedia.org/wiki/X11_color_names#Color_name_charts,#FFE4C4,100%,89%,77%,33°,100%,88%,23%,100%
Bistre,https://en.wikipedia.org/wiki/Bistre,#3D2B1F,24%,17%,12%,24°,33%,18%,49%,24%
Bistre brown,https://en.wikipedia.org/wiki/Bistre#Bistre_brown,#967117,59%,44%,9%,43°,73%,34%,85%,59%
Bitter lemon,https://en.wikipedia.org/wiki/Lemon_(color)#Bitter_lemon,#CAE00D,79%,88%,5%,66°,89%,46%,94%,88%
Bitter lime,https://en.wikipedia.org/wiki/Lime_(color),#BFFF00,75%,100%,0%,75°,100%,50%,100%,100%
Bittersweet,https://en.wikipedia.org/wiki/Shades_of_orange#Bittersweet,#FE6F5E,100%,44%,37%,6°,99%,68%,63%,100%
Bittersweet shimmer,https://en.wikipedia.org/wiki/Shades_of_orange#Bittersweet_shimmer,#BF4F51,75%,31%,32%,359°,47%,53%,59%,75%
Black,https://en.wikipedia.org/wiki/Black,#000000,0%,0%,0%,—°,0%,0%,0%,0%
Black bean,https://en.wikipedia.org/wiki/Shades_of_black_(colors)#Black_bean,#3D0C02,24%,5%,1%,10°,94%,12%,97%,24%
Black Coral,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Pearl_Brite,#54626F,33%,38%,44%,209°,14%,38%,24%,44%
Black leather jacket,https://en.wikipedia.org/wiki/Shades_of_black_(colors)#Black_leather_jacket,#253529,15%,21%,16%,135°,18%,18%,30%,21%
Black olive,https://en.wikipedia.org/wiki/Olive_(color)#Black_olive,#3B3C36,23%,24%,21%,70°,5%,22%,10%,24%
Black Shadows,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Heads_.27n_Tails,#BFAFB2,75%,69%,70%,349°,11%,72%,8%,75%
Blanched almond,https://en.wikipedia.org/wiki/X11_color_names,#FFEBCD,100%,92%,80%,36°,100%,90%,20%,100%
Blast-off bronze,https://en.wikipedia.org/wiki/Bronze_(color)#Blast-off_bronze,#A57164,65%,44%,39%,12°,27%,52%,39%,65%
Bleu de France,https://en.wikipedia.org/wiki/Bleu_de_France_(colour),#318CE7,19%,55%,91%,210°,79%,55%,79%,91%
Blizzard Blue,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Fluorescent_crayons,#ACE5EE,67%,90%,93%,188°,66%,80%,28%,93%
Blond,https://en.wikipedia.org/wiki/Blond,#FAF0BE,98%,94%,75%,50°,86%,86%,24%,98%
